Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,Weight,Material,Rigid,East,North,Up,Status,Pressure,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
24,,,unset,TEE,=10-ABC-0001_9,3,3,203mm,273.1,0.000,0,0.000,0,0.000,,,4587.000mm,4750.000mm,3881.000mm,,,,,,
25,80,,unset,TEE,=10-ABC-0001_9,0,0,254mm,273.1,0.000,0,0.000,0,0.000,,,4381.000mm,4750.000mm,3881.000mm,,,,,,
26,,,unset,TEE,=10-ABC-0001_9,2,2,254mm,273.1,0.000,0,0.000,0,0.000,,,4381.000mm,5500.000mm,3881.000mm,,,,,,
27,,,unset,BRAN,=10-ABC-0001_10,1,1,254mm,273.1,0.000,0,0.000,0,0.000,0,,4381.000mm,5500.000mm,3881.000mm,,0,,,,
28,,,unset,BRAN,=10-ABC-0001_10,2,2,254mm,273.1,0.000,0,0.000,0,0.000,0,,4381.000mm,7000.000mm,3881.000mm,,0,,,,
29,,,unset,TEE,=10-ABC-0001_11,1,1,254mm,273.1,0.000,0,0.000,0,0.000,,,4381.000mm,7000.000mm,3881.000mm,,,,,,
30,,,unset,TEE,=10-ABC-0001_11,3,3,152mm,273.1,0.000,0,0.000,0,0.000,,,4381.000mm,7750.000mm,4075.000mm,,,,,,
31,90,,unset,TEE,=10-ABC-0001_11,0,0,254mm,273.1,0.000,0,0.000,0,0.000,,,4381.000mm,7750.000mm,3881.000mm,,,,,,
32,,,unset,TEE,=10-ABC-0001_11,2,2,254mm,273.1,0.000,0,0.000,0,0.000,,,4381.000mm,8500.000mm,3881.000mm,,,,,,
33,,,unset,BRAN,=10-ABC-0001_12,1,1,254mm,273.1,0.000,0,0.000,0,0.000,0,,4381.000mm,8500.000mm,3881.000mm,,0,,,,
34,,,unset,BRAN,=10-ABC-0001_12,2,2,254mm,273.1,0.000,0,0.000,0,0.000,0,,4381.000mm,10000.000mm,3881.000mm,,0,,,,
35,,,unset,ELBO,=10-ABC-0001_13,1,1,254mm,273.1,0.000,0,381.000,0,0.000,,,4381.000mm,10000.000mm,3881.000mm,,,,,,
36,100,,unset,ELBO,=10-ABC-0001_13,0,0,254mm,273.1,0.000,0,381.000,0,0.000,,,4381.000mm,10381.000mm,3881.000mm,,,,,,
37,,,unset,ELBO,=10-ABC-0001_13,2,2,254mm,273.1,0.000,0,381.000,0,0.000,,,4762.000mm,10381.000mm,3881.000mm,,,,,,
38,,,unset,BRAN,=10-ABC-0001_14,1,1,254mm,273.1,0.000,0,0.000,0,0.000,0,,4762.000mm,10381.000mm,3881.000mm,,0,,,,
39,110,UCI:SP-04,UCI:SP-04,ANCI,=10-ABC-0001_SP4,0,0,254mm,273.1,0.000,0,0.000,0,0.000,,,5800.000mm,10381.000mm,3881.000mm,,,,,,
40,,,unset,BRAN,=10-ABC-0001_14,2,2,254mm,273.1,0.000,0,0.000,0,0.000,0,,7000.000mm,10381.000mm,3881.000mm,,0,,,,
41,,,unset,ELBO,=10-ABC-0001_15,1,1,254mm,273.1,0.000,0,381.000,0,0.000,,,7000.000mm,10381.000mm,3881.000mm,,,,,,
42,120,,unset,ELBO,=10-ABC-0001_15,0,0,254mm,273.1,0.000,0,381.000,0,0.000,,,7381.000mm,10381.000mm,3881.000mm,,,,,,
43,,,unset,ELBO,=10-ABC-0001_15,2,2,254mm,273.1,0.000,0,381.000,0,0.000,,,7381.000mm,10381.000mm,3500.000mm,,,,,,
44,,,unset,BRAN,=10-ABC-0001_16,1,1,254mm,273.1,0.000,0,0.000,0,0.000,0,,7381.000mm,10381.000mm,3500.000mm,,0,,,,
45,130,UCI:SP-05,UCI:SP-05,ANCI,=10-ABC-0001_SP5,0,0,254mm,273.1,0.000,0,0.000,0,0.000,,,7381.000mm,10381.000mm,2800.000mm,,,,,,
46,,,unset,BRAN,=10-ABC-0001_16,2,2,254mm,273.1,0.000,0,0.000,0,0.000,0,,7381.000mm,10381.000mm,2000.000mm,,0,,,,
47,,,unset,ELBO,=10-ABC-0001_17,1,1,254mm,273.1,0.000,0,381.000,0,0.000,,,7381.000mm,10381.000mm,2000.000mm,,,,,,
48,140,,unset,ELBO,=10-ABC-0001_17,0,0,254mm,273.1,0.000,0,381.000,0,0.000,,,7381.000mm,10381.000mm,1619.000mm,,,,,,
49,,,unset,ELBO,=10-ABC-0001_17,2,2,254mm,273.1,0.000,0,381.000,0,0.000,,,7381.000mm,10762.000mm,1619.000mm,,,,,,
50,,,unset,BRAN,=10-ABC-0001_18,1,1,254mm,273.1,0.000,0,0.000,0,0.000,0,,7381.000mm,10762.000mm,1619.000mm,,0,,,,
51,,,unset,BRAN,=10-ABC-0001_18,2,2,254mm,273.1,0.000,0,0.000,0,0.000,0,,7381.000mm,12000.000mm,1619.000mm,,0,,,,
52,,,unset,OLET,=10-ABC-0001_19,1,1,254mm,273.1,0.000,0,0.000,0,0.000,,,7381.000mm,12000.000mm,1619.000mm,,,,,,
53,,,unset,OLET,=10-ABC-0001_19,3,3,51mm,273.1,0.000,0,0.000,0,0.000,,,7381.000mm,12000.000mm,1831.800mm,,,,,,
54,150,,unset,OLET,=10-ABC-0001_19,0,0,254mm,273.1,0.000,0,0.000,0,0.000,,,7381.000mm,12000.000mm,1619.000mm,,,,,,
55,,,unset,OLET,=10-ABC-0001_19,2,2,254mm,273.1,0.000,0,0.000,0,0.000,,,7381.000mm,12000.000mm,1619.000mm,,,,,,
56,,,unset,BRAN,=10-ABC-0001_20,1,1,254mm,273.1,0.000,0,0.000,0,0.000,0,,7381.000mm,12000.000mm,1619.000mm,,0,,,,
57,160,UCI:SP-06,UCI:SP-06,ANCI,=10-ABC-0001_SP6,0,0,254mm,273.1,0.000,0,0.000,0,0.000,,,7381.000mm,13000.000mm,1619.000mm,,,,,,
58,,,unset,BRAN,=10-ABC-0001_20,2,2,254mm,273.1,0.000,0,0.000,0,0.000,0,,7381.000mm,14000.000mm,1619.000mm,,0,,,,
59,170,,unset,FLAN,=10-ABC-0001_21,1,2,254mm,273.1,0.000,0,0.000,0,0.000,,START,7381.000mm,14000.000mm,1619.000mm,,,,,,
60,,,unset,FLAN,=10-ABC-0001_21,2,1,254mm,273.1,0.000,0,0.000,0,0.000,,END,7381.000mm,14100.000mm,1619.000mm,,,,,,
61,,,unset,BRAN,=10-ABC-0001_22,1,1,203mm,219.1,0.000,0,0.000,0,0.000,0,,4587.000mm,4750.000mm,3881.000mm,,0,,,,
62,180,UCI:SP-07,UCI:SP-07,ANCI,=10-ABC-0001_SP7,0,0,203mm,219.1,0.000,0,0.000,0,0.000,,,5300.000mm,4750.000mm,3881.000mm,,,,,,
63,,,unset,BRAN,=10-ABC-0001_22,2,2,203mm,219.1,0.000,0,0.000,0,0.000,0,,6000.000mm,4750.000mm,3881.000mm,,0,,,,
64,190,,unset,FLAN,=10-ABC-0001_23,1,2,203mm,219.1,0.000,0,0.000,0,0.000,,START,6000.000mm,4750.000mm,3881.000mm,,,,,,
65,,,unset,FLAN,=10-ABC-0001_23,2,1,203mm,219.1,0.000,0,0.000,0,0.000,,END,6100.000mm,4750.000mm,3881.000mm,,,,,,
66,,,unset,BRAN,=10-ABC-0001_24,1,1,152mm,168.3,0.000,0,0.000,0,0.000,0,,4381.000mm,7750.000mm,4075.000mm,,0,,,,
67,200,UCI:SP-08,UCI:SP-08,ANCI,=10-ABC-0001_SP8,0,0,152mm,168.3,0.000,0,0.000,0,0.000,,,4381.000mm,7750.000mm,4800.000mm,,,,,,
68,,,unset,BRAN,=10-ABC-0001_24,2,2,152mm,168.3,0.000,0,0.000,0,0.000,0,,4381.000mm,7750.000mm,5500.000mm,,0,,,,
69,,,unset,ELBO,=10-ABC-0001_25,1,1,152mm,168.3,0.000,0,228.600,0,0.000,,,4381.000mm,7750.000mm,5500.000mm,,,,,,
70,210,,unset,ELBO,=10-ABC-0001_25,0,0,152mm,168.3,0.000,0,228.600,0,0.000,,,4381.000mm,7750.000mm,5728.600mm,,,,,,
71,,,unset,ELBO,=10-ABC-0001_25,2,2,152mm,168.3,0.000,0,228.600,0,0.000,,,4609.600mm,7750.000mm,5728.600mm,,,,,,
72,,,unset,BRAN,=10-ABC-0001_26,1,1,152mm,168.3,0.000,0,0.000,0,0.000,0,,4609.600mm,7750.000mm,5728.600mm,,0,,,,
73,,,unset,BRAN,=10-ABC-0001_26,2,2,152mm,168.3,0.000,0,0.000,0,0.000,0,,6000.000mm,7750.000mm,5728.600mm,,0,,,,
74,,,unset,VALV,=10-ABC-0001_27,1,2,152mm,168.3,0.000,0,0.000,0,0.000,,,6000.000mm,7750.000mm,5728.600mm,,,,,,
75,,,unset,VALV,=10-ABC-0001_27,2,1,152mm,168.3,0.000,0,0.000,0,0.000,,,6600.000mm,7750.000mm,5728.600mm,,,,,,
76,220,,unset,FLAN,=10-ABC-0001_28,1,2,152mm,168.3,0.000,0,0.000,0,0.000,,START,6600.000mm,7750.000mm,5728.600mm,,,,,,
77,,,unset,FLAN,=10-ABC-0001_28,2,1,152mm,168.3,0.000,0,0.000,0,0.000,,END,6700.000mm,7750.000mm,5728.600mm,,,,,,
78,,,unset,BRAN,=10-ABC-0001_29,1,1,51mm,60.3,0.000,0,0.000,0,0.000,0,,7381.000mm,12000.000mm,1831.800mm,,0,,,,
79,,,unset,BRAN,=10-ABC-0001_29,2,2,51mm,60.3,0.000,0,0.000,0,0.000,0,,7381.000mm,12000.000mm,3044.600mm,,0,,,,
80,230,,unset,FLAN,=10-ABC-0001_30,1,2,51mm,60.3,0.000,0,0.000,0,0.000,,START,7381.000mm,12000.000mm,3044.600mm,,,,,,
81,,,unset,FLAN,=10-ABC-0001_30,2,1,51mm,60.3,0.000,0,0.000,0,0.000,,END,7381.000mm,12000.000mm,3144.600mm,,,,,,
